Barriendo 26,460 enfrentamientos, hasta 14 plies, 20000 ms cada uno.
Hilos: 8
   15800/26460  (1414s)
   15825/26460  (1414s)
   15850/26460  (1415s)
   15875/26460  (1416s)
   15900/26460  (1417s)
   15925/26460  (1419s)
   15950/26460  (1420s)
   15975/26460  (1421s)
   16000/26460  (1423s)
   16025/26460  (1425s)
   16050/26460  (1425s)
   16075/26460  (1427s)
   16100/26460  (1429s)
   16125/26460  (1430s)
   16150/26460  (1432s)
   16175/26460  (1433s)
   16200/26460  (1436s)
   16225/26460  (1437s)
   16250/26460  (1439s)
   16275/26460  (1441s)
   16300/26460  (1442s)
   16325/26460  (1443s)
   16350/26460  (1444s)
   16375/26460  (1445s)
   16400/26460  (1446s)
   16425/26460  (1447s)
   16450/26460  (1448s)
   16475/26460  (1448s)
   16500/26460  (1449s)
   16525/26460  (1449s)
   16550/26460  (1450s)
   16575/26460  (1450s)
   16600/26460  (1451s)
   16625/26460  (1451s)
   16650/26460  (1451s)
   16675/26460  (1452s)
   16700/26460  (1452s)
   16725/26460  (1453s)
   16750/26460  (1454s)
   16775/26460  (1454s)
   16800/26460  (1455s)
   16825/26460  (1456s)
   16850/26460  (1456s)
   16875/26460  (1457s)
   16900/26460  (1458s)
   16925/26460  (1458s)
   16950/26460  (1459s)
   16975/26460  (1460s)
   17000/26460  (1460s)
   17025/26460  (1460s)
   17050/26460  (1461s)
   17075/26460  (1461s)
   17100/26460  (1461s)
   17125/26460  (1461s)
   17150/26460  (1462s)
   17175/26460  (1462s)
   17200/26460  (1462s)
   17225/26460  (1462s)
   17250/26460  (1463s)
   17275/26460  (1465s)
   17300/26460  (1467s)
   17325/26460  (1469s)
   17350/26460  (1471s)
   17375/26460  (1472s)
   17400/26460  (1474s)
   17425/26460  (1476s)
   17450/26460  (1478s)
   17475/26460  (1482s)
   17500/26460  (1485s)
   17525/26460  (1488s)
   17550/26460  (1492s)
   17575/26460  (1497s)
   17600/26460  (1499s)
   17625/26460  (1502s)
   17650/26460  (1503s)
   17675/26460  (1504s)
   17700/26460  (1506s)
   17725/26460  (1509s)
   17750/26460  (1510s)
   17775/26460  (1514s)
   17800/26460  (1516s)
   17825/26460  (1519s)
   17850/26460  (1523s)
   17875/26460  (1524s)
   17900/26460  (1526s)
   17925/26460  (1528s)
   17950/26460  (1529s)
   17975/26460  (1530s)
   18000/26460  (1533s)
   18025/26460  (1535s)
   18050/26460  (1537s)
   18075/26460  (1540s)
   18100/26460  (1542s)
   18125/26460  (1545s)
   18150/26460  (1546s)
   18175/26460  (1547s)
   18200/26460  (1550s)
   18225/26460  (1551s)
   18250/26460  (1553s)
   18275/26460  (1554s)
   18300/26460  (1555s)
   18325/26460  (1556s)
   18350/26460  (1557s)
   18375/26460  (1559s)
   18400/26460  (1560s)
   18425/26460  (1562s)
   18450/26460  (1564s)
   18475/26460  (1566s)
   18500/26460  (1567s)
   18525/26460  (1568s)
   18550/26460  (1570s)
   18575/26460  (1571s)
   18600/26460  (1571s)
   18625/26460  (1572s)
   18650/26460  (1573s)
   18675/26460  (1575s)
   18700/26460  (1576s)
   18725/26460  (1576s)
   18750/26460  (1578s)
   18775/26460  (1579s)
   18800/26460  (1581s)
   18825/26460  (1584s)
   18850/26460  (1585s)
   18875/26460  (1588s)
   18900/26460  (1589s)
   18925/26460  (1591s)
   18950/26460  (1592s)
   18975/26460  (1594s)
   19000/26460  (1595s)
   19025/26460  (1596s)
   19050/26460  (1598s)
   19075/26460  (1600s)
   19100/26460  (1601s)
   19125/26460  (1604s)
   19150/26460  (1606s)
   19175/26460  (1607s)
   19200/26460  (1608s)
   19225/26460  (1610s)
   19250/26460  (1611s)
   19275/26460  (1612s)
   19300/26460  (1614s)
   19325/26460  (1616s)
   19350/26460  (1618s)
   19375/26460  (1619s)
   19400/26460  (1620s)
   19425/26460  (1621s)
   19450/26460  (1622s)
   19475/26460  (1623s)
   19500/26460  (1625s)
   19525/26460  (1626s)
   19550/26460  (1627s)
   19575/26460  (1628s)
   19600/26460  (1630s)
   19625/26460  (1631s)
   19650/26460  (1632s)
   19675/26460  (1633s)
   19700/26460  (1635s)
   19725/26460  (1636s)
   19750/26460  (1637s)
   19775/26460  (1638s)
   19800/26460  (1640s)
   19825/26460  (1645s)
   19850/26460  (1652s)
   19875/26460  (1658s)
   19900/26460  (1662s)
   19925/26460  (1671s)
   19950/26460  (1673s)
   19975/26460  (1679s)
   20000/26460  (1683s)
   20025/26460  (1687s)
   20050/26460  (1689s)
   20075/26460  (1691s)
   20100/26460  (1695s)
   20125/26460  (1696s)
   20150/26460  (1698s)
   20175/26460  (1702s)
   20200/26460  (1705s)
   20225/26460  (1709s)
   20250/26460  (1715s)
   20275/26460  (1722s)
   20300/26460  (1725s)
   20325/26460  (1729s)
   20350/26460  (1736s)
   20375/26460  (1739s)
   20400/26460  (1743s)
   20425/26460  (1745s)
   20450/26460  (1750s)
   20475/26460  (1754s)
   20500/26460  (1757s)
   20525/26460  (1760s)
   20550/26460  (1763s)
   20575/26460  (1766s)
   20600/26460  (1767s)
   20625/26460  (1769s)
   20650/26460  (1771s)
   20675/26460  (1774s)
   20700/26460  (1778s)
   20725/26460  (1782s)
   20750/26460  (1788s)
   20775/26460  (1791s)
   20800/26460  (1796s)
   20825/26460  (1799s)
   20850/26460  (1802s)
   20875/26460  (1806s)
   20900/26460  (1809s)
   20925/26460  (1811s)
   20950/26460  (1813s)
   20975/26460  (1818s)
   21000/26460  (1823s)
   21025/26460  (1827s)
   21050/26460  (1829s)
   21075/26460  (1834s)
   21100/26460  (1838s)
   21125/26460  (1841s)
   21150/26460  (1843s)
   21175/26460  (1846s)
   21200/26460  (1849s)
   21225/26460  (1851s)
   21250/26460  (1853s)
   21275/26460  (1855s)
   21300/26460  (1857s)
   21325/26460  (1859s)
   21350/26460  (1861s)
   21375/26460  (1864s)
   21400/26460  (1867s)
   21425/26460  (1870s)
   21450/26460  (1872s)
