ap_pieza,ap_casilla,ap_celda,pieza,celda,tipo,en_linea,teoria,plies,gana1,gana2,sindef
4,esquina,A1,5,A2,lado,1,BlackWin,14,40.1,58.2,1.6
4,esquina,A1,5,C3,esquina,1,WhiteWin,9,40.6,58.0,1.4
4,esquina,A1,5,A3,esquina,1,WhiteWin,9,41.9,57.0,1.1
4,esquina,A1,3,C3,esquina,1,WhiteWin,13,43.5,55.2,1.3
4,esquina,A1,5,B3,lado,0,Draw,14,46.1,52.7,1.2
4,esquina,A1,2,C3,esquina,1,Draw,14,46.7,52.1,1.1
4,esquina,A1,1,C3,esquina,1,Draw,14,49.0,50.1,0.9
4,esquina,A1,3,A3,esquina,1,WhiteWin,7,50.4,48.7,0.9
4,esquina,A1,2,A3,esquina,1,WhiteWin,7,51.7,46.8,1.5
4,esquina,A1,3,B3,lado,0,WhiteWin,7,55.1,44.4,0.6
4,esquina,A1,1,A3,esquina,1,WhiteWin,7,55.3,43.5,1.1
4,esquina,A1,1,A2,lado,1,WhiteWin,7,59.9,38.9,1.2
4,esquina,A1,3,A2,lado,1,WhiteWin,7,60.2,38.8,1.0
4,esquina,A1,2,A2,lado,1,WhiteWin,7,60.7,38.8,0.6
4,esquina,A1,2,B3,lado,0,WhiteWin,7,61.1,37.5,1.4
4,esquina,A1,1,B3,lado,0,WhiteWin,7,64.1,34.6,1.3
1,lado,A2,5,C1,esquina,0,WhiteWin,9,30.1,69.0,1.0
1,lado,A2,5,C2,lado,1,Draw,14,30.3,68.8,0.8
1,lado,A2,5,A1,esquina,1,BlackWin,14,32.8,66.0,1.2
1,lado,A2,5,B1,lado,0,BlackWin,14,33.8,65.0,1.1
1,lado,A2,2,A1,esquina,1,Draw,14,36.8,62.2,1.1
1,lado,A2,3,A1,esquina,1,Draw,14,39.9,58.6,1.4
1,lado,A2,1,C1,esquina,0,WhiteWin,9,41.0,58.0,0.9
1,lado,A2,3,C2,lado,1,WhiteWin,9,43.9,55.4,0.8
1,lado,A2,3,C1,esquina,0,WhiteWin,9,45.1,53.8,1.1
1,lado,A2,2,C1,esquina,0,WhiteWin,9,47.7,51.4,0.9
1,lado,A2,2,C2,lado,1,WhiteWin,9,48.6,50.5,0.8
1,lado,A2,3,B1,lado,0,WhiteWin,9,50.3,49.1,0.6
1,lado,A2,1,C2,lado,1,WhiteWin,9,49.9,48.9,1.3
1,lado,A2,1,A1,esquina,1,WhiteWin,9,50.1,48.9,1.0
1,lado,A2,2,B1,lado,0,WhiteWin,9,55.5,43.7,0.8
1,lado,A2,1,B1,lado,0,WhiteWin,9,56.4,42.5,1.1
2,lado,A2,5,C2,lado,1,Draw,14,33.0,65.8,1.2
2,lado,A2,5,A1,esquina,1,BlackWin,14,33.2,65.5,1.2
2,lado,A2,5,C1,esquina,0,WhiteWin,9,35.4,63.5,1.1
2,lado,A2,5,B1,lado,0,BlackWin,14,35.3,63.3,1.4
2,lado,A2,3,A1,esquina,1,Draw,14,39.0,60.0,1.1
2,lado,A2,2,C1,esquina,0,WhiteWin,9,42.8,56.0,1.2
2,lado,A2,1,C1,esquina,0,WhiteWin,9,43.4,56.0,0.6
2,lado,A2,3,C2,lado,1,WhiteWin,9,45.1,53.5,1.3
2,lado,A2,2,C2,lado,1,WhiteWin,9,48.2,50.8,1.1
2,lado,A2,1,C2,lado,1,WhiteWin,9,49.2,50.0,0.8
2,lado,A2,2,A1,esquina,1,WhiteWin,9,49.4,49.9,0.7
2,lado,A2,3,C1,esquina,0,WhiteWin,9,49.9,49.0,1.1
2,lado,A2,3,B1,lado,0,WhiteWin,9,50.8,48.0,1.2
2,lado,A2,1,A1,esquina,1,WhiteWin,9,51.2,47.1,1.6
2,lado,A2,1,B1,lado,0,WhiteWin,9,56.8,42.4,0.9
2,lado,A2,2,B1,lado,0,WhiteWin,9,56.6,42.2,1.2
3,lado,A2,5,A1,esquina,1,BlackWin,14,33.4,65.5,1.1
3,lado,A2,5,C2,lado,1,Draw,14,35.0,63.8,1.2
3,lado,A2,5,B1,lado,0,BlackWin,14,36.6,62.2,1.2
3,lado,A2,5,C1,esquina,0,WhiteWin,9,38.4,60.5,1.1
3,lado,A2,2,C1,esquina,0,WhiteWin,9,45.3,53.9,0.8
3,lado,A2,3,C1,esquina,0,WhiteWin,9,46.2,52.5,1.2
3,lado,A2,1,C1,esquina,0,WhiteWin,9,47.7,51.2,1.1
3,lado,A2,2,C2,lado,1,WhiteWin,9,48.1,51.0,0.8
3,lado,A2,3,C2,lado,1,WhiteWin,9,48.2,50.9,0.9
3,lado,A2,3,A1,esquina,1,WhiteWin,9,49.1,49.9,0.9
3,lado,A2,1,A1,esquina,1,WhiteWin,9,49.8,48.5,1.7
3,lado,A2,1,C2,lado,1,WhiteWin,9,51.0,47.7,1.2
3,lado,A2,2,A1,esquina,1,WhiteWin,9,50.4,47.5,2.2
3,lado,A2,3,B1,lado,0,WhiteWin,9,52.9,45.9,1.3
3,lado,A2,2,B1,lado,0,WhiteWin,9,54.9,44.4,0.8
3,lado,A2,1,B1,lado,0,WhiteWin,9,59.4,39.9,0.8
4,lado,A2,5,A1,esquina,1,BlackWin,14,37.1,62.2,0.6
4,lado,A2,5,C2,lado,1,Draw,14,39.2,58.9,1.9
4,lado,A2,5,B1,lado,0,BlackWin,14,40.8,58.0,1.2
4,lado,A2,5,C1,esquina,0,WhiteWin,9,41.9,56.8,1.3
4,lado,A2,3,C1,esquina,0,WhiteWin,9,46.0,52.7,1.4
4,lado,A2,2,C1,esquina,0,WhiteWin,9,49.1,49.9,1.1
4,lado,A2,3,C2,lado,1,WhiteWin,9,50.8,48.4,0.9
4,lado,A2,1,C1,esquina,0,WhiteWin,9,52.6,46.6,0.8
4,lado,A2,2,A1,esquina,1,WhiteWin,9,53.3,45.6,1.1
4,lado,A2,1,A1,esquina,1,WhiteWin,9,53.9,45.2,0.9
4,lado,A2,2,C2,lado,1,WhiteWin,9,54.0,45.1,0.9
4,lado,A2,3,A1,esquina,1,WhiteWin,9,55.2,43.4,1.4
4,lado,A2,1,C2,lado,1,WhiteWin,9,55.8,43.1,1.1
4,lado,A2,3,B1,lado,0,WhiteWin,9,56.6,42.2,1.2
4,lado,A2,2,B1,lado,0,WhiteWin,9,61.1,38.0,0.8
4,lado,A2,1,B1,lado,0,WhiteWin,9,63.5,35.1,1.4
