white,black,regla,ve,gana1,gana2,sindef,turnos
12244,12335,fijo,2,54.63,44.80,0.57,10.60
12244,12335,libre,2,56.93,42.53,0.53,10.20
12244,12345,fijo,2,45.47,54.27,0.27,10.40
12244,12345,libre,2,50.10,49.57,0.33,10.02
12244,12355,fijo,2,45.60,54.23,0.17,10.31
12244,12355,libre,2,47.67,52.10,0.23,10.10
12244,13345,fijo,2,43.10,56.43,0.47,10.60
12244,13345,libre,2,47.80,51.73,0.47,10.23
12244,13355,fijo,2,43.10,56.33,0.57,10.67
12244,13355,libre,2,47.80,52.00,0.20,10.15
12244,13445,fijo,2,40.47,59.47,0.07,10.37
12244,13445,libre,2,42.90,57.03,0.07,10.00
12244,13455,fijo,2,39.10,60.90,0.00,10.20
12244,13455,libre,2,41.03,58.97,0.00,9.94
12244,22335,fijo,2,49.57,50.00,0.43,10.61
12244,22335,libre,2,52.50,47.10,0.40,10.28
12244,22345,fijo,2,40.50,59.20,0.30,10.46
12244,22345,libre,2,44.37,55.50,0.13,10.10
12244,22355,fijo,2,41.47,58.37,0.17,10.33
12244,22355,libre,2,44.10,55.73,0.17,10.07
12244,23345,fijo,2,38.87,60.97,0.17,10.46
12244,23345,libre,2,44.13,55.73,0.13,10.01
12244,23355,fijo,2,38.90,60.93,0.17,10.46
12244,23355,libre,2,42.37,57.60,0.03,10.01
12244,23445,fijo,2,35.83,64.13,0.03,10.27
12244,23445,libre,2,39.27,60.73,0.00,9.86
12244,23455,fijo,2,35.27,64.73,0.00,10.10
12244,23455,libre,2,37.43,62.57,0.00,9.86
12244,33445,fijo,2,34.23,65.70,0.07,10.32
12244,33445,libre,2,37.33,62.63,0.03,10.03
12244,33455,fijo,2,33.30,66.70,0.00,10.24
12244,33455,libre,2,36.37,63.63,0.00,9.98
12244,34455,fijo,2,29.03,70.97,0.00,10.06
12244,34455,libre,2,32.97,67.00,0.03,9.76
12334,11225,fijo,2,70.70,29.00,0.30,10.40
12334,11225,libre,2,72.87,26.87,0.27,9.87
12334,11235,fijo,2,63.63,35.63,0.73,10.63
12334,11235,libre,2,65.27,34.00,0.73,10.18
12334,11245,fijo,2,52.07,46.80,1.13,10.84
12334,11245,libre,2,56.30,43.03,0.67,10.27
12334,11255,fijo,2,54.10,45.17,0.73,10.51
12334,11255,libre,2,57.57,41.97,0.47,10.02
12334,11335,fijo,2,56.10,43.47,0.43,10.45
12334,11335,libre,2,59.73,39.93,0.33,10.13
12334,11345,fijo,2,45.10,54.50,0.40,10.56
12334,11345,libre,2,49.50,50.00,0.50,10.16
12334,11355,fijo,2,47.37,52.27,0.37,10.35
12334,11355,libre,2,51.10,48.63,0.27,9.97
12334,11445,fijo,2,40.87,59.07,0.07,10.20
12334,11445,libre,2,45.40,54.53,0.07,9.99
12334,11455,fijo,2,40.50,59.50,0.00,10.18
12334,11455,libre,2,45.43,54.53,0.03,9.90
12334,12235,fijo,2,61.03,38.27,0.70,10.60
12334,12235,libre,2,63.57,35.63,0.80,10.12
12334,12245,fijo,2,50.87,48.43,0.70,10.69
12334,12245,libre,2,55.03,44.60,0.37,10.16
12334,12255,fijo,2,52.20,47.40,0.40,10.37
12334,12255,libre,2,54.73,44.67,0.60,10.07
12334,12335,fijo,2,55.97,43.53,0.50,10.45
12334,12335,libre,2,57.97,41.47,0.57,10.09
12334,12345,fijo,2,44.57,54.93,0.50,10.44
12334,12345,libre,2,48.90,50.77,0.33,10.13
12334,12355,fijo,2,46.37,53.07,0.57,10.43
12334,12355,libre,2,50.63,49.20,0.17,9.87
12334,12445,fijo,2,41.47,58.53,0.00,10.19
12334,12445,libre,2,46.50,53.50,0.00,9.91
12334,12455,fijo,2,40.17,59.83,0.00,10.21
12334,12455,libre,2,45.17,54.83,0.00,9.83
12334,13345,fijo,2,41.23,58.67,0.10,10.33
12334,13345,libre,2,44.90,55.10,0.00,9.99
12334,13355,fijo,2,43.73,56.23,0.03,10.09
12334,13355,libre,2,46.27,53.67,0.07,9.89
12334,13445,fijo,2,36.93,63.07,0.00,10.10
12334,13445,libre,2,42.20,57.80,0.00,9.82
12334,13455,fijo,2,36.17,63.83,0.00,10.10
12334,13455,libre,2,41.03,58.97,0.00,9.77
12334,14455,fijo,2,34.43,65.57,0.00,9.94
12334,14455,libre,2,37.60,62.40,0.00,9.70
12334,22335,fijo,2,50.93,48.67,0.40,10.44
12334,22335,libre,2,54.70,45.00,0.30,10.20
12334,22345,fijo,2,41.00,58.80,0.20,10.42
12334,22345,libre,2,44.90,55.03,0.07,9.99
12334,22355,fijo,2,44.70,55.13,0.17,10.24
12334,22355,libre,2,47.20,52.73,0.07,9.95
12334,22445,fijo,2,37.00,63.00,0.00,10.13
12334,22445,libre,2,41.13,58.83,0.03,10.01
12334,22455,fijo,2,37.80,62.20,0.00,10.10
12334,22455,libre,2,42.20,57.80,0.00,9.91
12334,23345,fijo,2,38.07,61.83,0.10,10.28
12334,23345,libre,2,42.63,57.37,0.00,9.95
12334,23355,fijo,2,41.47,58.53,0.00,10.06
12334,23355,libre,2,43.57,56.40,0.03,9.89
12334,23445,fijo,2,34.70,65.30,0.00,10.14
12334,23445,libre,2,40.13,59.87,0.00,9.82
